Target_TPS,Actual_TPS,p50_latency_us,p95_latency_us,p99_latency_us,cpu_percent,rss_mb
1,0.9989876039720907,248.12499759718776,254.74939902778715,254.7826775116846,0.1,118.5625
10,9.989877943209875,165.25000683031976,510.9997000545263,923.172266338951,0.6,118.5625
100,99.96263470204214,125.64549979288131,234.9369053263217,299.7999978833831,3.9,118.578125
500,499.9614983644553,110.77100498368964,204.6250010607764,238.01207324140677,16.0,118.6875
1000,999.9715813130158,104.2079966282472,199.29104673792608,269.00124648818746,27.6,118.828125
5000,4999.97091310256,27.417001547291875,30.58298971154727,36.959407880203734,29.7,119.53125
