Model,Fold_mean,Fold_std,Accuracy_mean,Accuracy_std,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std,MCC_mean,MCC_std,Balanced Acc_mean,Balanced Acc_std,ROC AUC_mean,ROC AUC_std,PR AUC_mean,PR AUC_std,Brier Score_mean,Brier Score_std,Latency (s)_mean,Latency (s)_std
Isolation Forest,3.0,1.5811388300841898,0.8992000000000001,0.011654398311367246,0.8324737144866752,0.01611302058571725,1.0,0.0,0.9085115896197191,0.009606011840965385,0.815250913138942,0.019791968051190278,0.8992000000000001,0.011654398311367218,0.9985774,0.0011874968631537515,0.9970357501695762,0.0020683378680902637,0.0298465225747802,0.0025411433289131836,0.0689058780670166,0.0018903857279103514
LOF,3.0,1.5811388300841898,0.8984,0.008967998661908833,0.8312638498663809,0.012313058171393321,1.0,0.0,0.9078184765915609,0.007364381435242183,0.8138446441583884,0.01519024800108637,0.8984,0.008967998661908833,0.9985594000000001,0.003108274247874536,0.9931020849973077,0.015316697489786637,0.23014601556387518,0.1408561261296228,0.013472747802734376,0.0004944711204303398
Logistic Regression,3.0,1.5811388300841898,0.9837,0.011410521460476735,0.9996007984031936,0.0008926419071855767,0.9678000000000001,0.023498936146132222,0.983320821828905,0.011799828618802214,0.9681033526256344,0.0221160006523322,0.9837,0.011410521460476735,0.9998799999999999,0.00026112161917385103,0.9997594682500022,0.0005305716650724354,0.011338802497649245,0.00975701130073684,0.020314836502075197,0.00556308638150911
OCSVM,3.0,1.5811388300841898,0.8994,0.007274957044546739,0.8325989952001758,0.0101301161399185,1.0,0.0,0.9086271483749868,0.006020580910661267,0.8155214511088522,0.012387149675338998,0.8994,0.007274957044546739,0.9999990000000001,2.2360679774999572e-06,0.999998998996993,2.238310769382279e-06,0.17021480417149382,0.0020254924657672896,0.14537639617919923,0.008258509525831518
Random Forest,3.0,1.5811388300841898,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,7.651999999999999e-05,5.9035885273281025e-05,0.11181483268737794,0.002402158731888434
Stat Threshold,3.0,1.5811388300841898,0.5,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,,,0.00015745162963867187,1.548675037570527e-05
XGBoost,3.0,1.5811388300841898,0.9997,0.0006708203932499189,1.0,0.0,0.9994,0.0013416407864998625,0.999699549323986,0.0006718281354531371,0.9994008973060569,0.0013396343491602315,0.9997,0.0006708203932499747,1.0,0.0,1.0,0.0,0.0002612233627075966,0.0005636198162451423,0.03642902374267578,0.004747760988472491
Z-Score,3.0,1.5811388300841898,0.9984,0.002484954727957861,0.9968296565016169,0.004907389626001,1.0,0.0,0.9984074568078789,0.002469230214282882,0.9968148277380695,0.004938649202560557,0.9984,0.002484954727957861,0.9990981000000001,0.0009614335910503547,0.9982023827248326,0.001912632205618832,0.016766296798158577,0.004197127902419698,0.00031008720397949217,3.1300373433741715e-05
