Algorithm,Model,Seq_Len,Training_Time_s,Precision,Recall,F1,ROC_AUC,PR_AUC,MCC,Balanced_Accuracy,FPR,Inference_Time_ms
ML-KEM-512,LSTM,5,2.948974847793579,1.0,0.9846153846153847,0.9922480620155039,1.0,0.9999999999999998,0.9913448460637879,0.9923076923076923,0.0,0.18804065333116773
ML-KEM-512,GRU,5,1.0852999687194824,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,1.0,0.0,0.0933452740611646
ML-KEM-512,HMM,5,2.0997660160064697,0.2918918918918919,0.8307692307692308,0.432,0.8641749963783862,0.4118894573208007,0.3935122630476244,0.7920324496595683,0.24670433145009416,0.10853045738783458
ML-KEM-512,LSTM,10,0.9735920429229736,0.0,0.0,0.0,1.0,0.9999999999999998,0.0,0.5,0.0,0.18667852011227165
ML-KEM-512,GRU,10,1.4767661094665527,1.0,1.0,1.0,1.0,0.9999999999999996,1.0,1.0,0.0,0.11915926602487839
ML-KEM-512,HMM,10,2.283306837081909,0.22033898305084745,0.6,0.32231404958677684,0.7540216437554841,0.2488742416357003,0.23063221178528973,0.6688212927756654,0.2623574144486692,0.11306930516173594
ML-KEM-512,LSTM,20,0.6405491828918457,0.0,0.0,0.0,1.0,0.9999999999999998,0.0,0.5,0.0,0.01342653612671949
ML-KEM-512,GRU,20,1.8133478164672852,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,1.0,0.0,0.011178999882762075
ML-KEM-512,HMM,20,2.480944871902466,0.14840989399293286,0.6666666666666666,0.24277456647398843,0.6536127964699392,0.19650883219778242,0.1252930922690829,0.6007078507078507,0.46525096525096526,0.11717760214091578
ML-KEM-512,LSTM,30,0.9117848873138428,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.0,0.11474405612711731
ML-KEM-512,GRU,30,2.0049638748168945,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.015098033978517335
ML-KEM-512,HMM,30,2.492097854614258,0.13703703703703704,0.6065573770491803,0.22356495468277945,0.6247508839601414,0.18997703118300827,0.09261708382115147,0.5748473159755705,0.4568627450980392,0.12023603435990689
ML-KEM-768,LSTM,5,0.48949384689331055,0.0,0.0,0.0,1.0,0.9999999999999998,0.0,0.5,0.0,0.003583879278810232
ML-KEM-768,GRU,5,0.8554399013519287,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,1.0,0.0,0.0028842247572521233
ML-KEM-768,HMM,5,2.1241979598999023,0.2918918918918919,0.8307692307692308,0.432,0.8641749963783862,0.4118894573208007,0.3935122630476244,0.7920324496595683,0.24670433145009416,0.11019818734802656
ML-KEM-768,LSTM,10,0.40331482887268066,1.0,0.9076923076923077,0.9516129032258065,1.0,0.9999999999999996,0.9473411087895135,0.9538461538461538,0.0,0.008506016481144577
ML-KEM-768,GRU,10,1.207566738128662,0.0,0.0,0.0,1.0,0.9999999999999998,0.0,0.5,0.0,0.00476837158203125
ML-KEM-768,HMM,10,2.34431791305542,0.22033898305084745,0.6,0.32231404958677684,0.7540216437554841,0.2488742416357003,0.23063221178528973,0.6688212927756654,0.2623574144486692,0.1073702539485925
ML-KEM-768,LSTM,20,0.7109401226043701,1.0,0.9047619047619048,0.95,1.0,0.9999999999999998,0.945728309623546,0.9523809523809523,0.0,0.009373420281992928
ML-KEM-768,GRU,20,1.8011789321899414,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,1.0,0.0,0.0074631991361792036
ML-KEM-768,HMM,20,2.5012879371643066,0.14840989399293286,0.6666666666666666,0.24277456647398843,0.6536127964699392,0.19650883219778242,0.1252930922690829,0.6007078507078507,0.46525096525096526,0.14920858425856046
ML-KEM-768,LSTM,30,0.7045061588287354,1.0,0.39344262295081966,0.5647058823529412,1.0,1.0,0.6056645129135231,0.6967213114754098,0.0,0.008919193114165459
ML-KEM-768,GRU,30,1.9166619777679443,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.009441125205018266
