algo,seed,full_precision,full_recall,full_fpr,full_accuracy,nocmem_precision,nocmem_recall,nocmem_fpr,nocmem_accuracy,notime_precision,notime_recall,notime_fpr,notime_accuracy,noadapt_precision,noadapt_recall,noadapt_fpr,noadapt_accuracy
ML-KEM-512,42,1.0,0.32,0.0,0.7962328767123288,1.0,0.13714285714285715,0.0,0.7414383561643836,1.0,0.3314285714285714,0.0,0.7996575342465754,1.0,0.32,0.0,0.7962328767123288
ML-KEM-512,123,1.0,0.1657142857142857,0.0,0.75,0.9411764705882353,0.18285714285714286,0.004889975550122249,0.7517123287671232,0.90625,0.1657142857142857,0.007334963325183374,0.7448630136986302,1.0,0.2,0.0,0.7602739726027398
ML-KEM-512,1001,0.7666666666666667,0.26285714285714284,0.034229828850855744,0.7551369863013698,1.0,0.34285714285714286,0.0,0.803082191780822,0.7076923076923077,0.26285714285714284,0.04645476772616137,0.7465753424657534,0.5185185185185185,0.24,0.09535452322738386,0.7054794520547946
ML-KEM-512,2024,0.7424242424242424,0.28,0.04156479217603912,0.7551369863013698,0.7671232876712328,0.32,0.04156479217603912,0.7671232876712328,0.7166666666666667,0.24571428571428572,0.04156479217603912,0.7448630136986302,0.7166666666666667,0.24571428571428572,0.04156479217603912,0.7448630136986302
ML-KEM-512,8888,1.0,0.32,0.0,0.7962328767123288,1.0,0.33714285714285713,0.0,0.8013698630136986,1.0,0.26285714285714284,0.0,0.7791095890410958,1.0,0.28,0.0,0.7842465753424658
ML-KEM-512,777,0.98,0.28,0.0024449877750611247,0.7825342465753424,0.9607843137254902,0.28,0.004889975550122249,0.7808219178082192,0.9818181818181818,0.30857142857142855,0.0024449877750611247,0.791095890410959,0.9772727272727273,0.24571428571428572,0.0024449877750611247,0.7722602739726028
ML-KEM-512,999,1.0,0.14857142857142858,0.0,0.7448630136986302,0.96,0.2742857142857143,0.004889975550122249,0.7791095890410958,1.0,0.17142857142857143,0.0,0.7517123287671232,1.0,0.14285714285714285,0.0,0.7431506849315068
ML-KEM-512,1111,0.9795918367346939,0.2742857142857143,0.0024449877750611247,0.7808219178082192,0.9803921568627451,0.2857142857142857,0.0024449877750611247,0.7842465753424658,0.9795918367346939,0.2742857142857143,0.0024449877750611247,0.7808219178082192,0.9761904761904762,0.2342857142857143,0.0024449877750611247,0.7688356164383562
ML-KEM-512,2222,1.0,0.18857142857142858,0.0,0.7568493150684932,0.98,0.28,0.0024449877750611247,0.7825342465753424,1.0,0.18857142857142858,0.0,0.7568493150684932,1.0,0.2,0.0,0.7602739726027398
ML-KEM-512,3333,0.96875,0.17714285714285713,0.0024449877750611247,0.7517123287671232,0.9714285714285714,0.19428571428571428,0.0024449877750611247,0.7568493150684932,0.967741935483871,0.17142857142857143,0.0024449877750611247,0.75,0.9655172413793104,0.16,0.0024449877750611247,0.7465753424657534
ML-DSA-44,42,1.0,0.37714285714285717,0.0,0.8133561643835616,0.8888888888888888,0.045714285714285714,0.0024449877750611247,0.7123287671232876,1.0,0.38285714285714284,0.0,0.815068493150685,1.0,0.3942857142857143,0.0,0.8184931506849316
ML-DSA-44,123,0.75,0.17142857142857143,0.02444987775061125,0.7345890410958904,0.9111111111111111,0.2342857142857143,0.009779951100244499,0.7636986301369864,0.7272727272727273,0.13714285714285715,0.022004889975550123,0.726027397260274,0.7209302325581395,0.17714285714285713,0.029339853300733496,0.7328767123287672
ML-DSA-44,1001,0.9782608695652174,0.2571428571428571,0.0024449877750611247,0.7756849315068494,0.9166666666666666,0.18857142857142858,0.007334963325183374,0.7517123287671232,1.0,0.21714285714285714,0.0,0.7654109589041096,0.9761904761904762,0.2342857142857143,0.0024449877750611247,0.7688356164383562
ML-DSA-44,2024,1.0,0.29714285714285715,0.0,0.7893835616438356,0.7560975609756098,0.17714285714285713,0.02444987775061125,0.7363013698630136,1.0,0.28,0.0,0.7842465753424658,1.0,0.32,0.0,0.7962328767123288
ML-DSA-44,8888,1.0,0.2857142857142857,0.0,0.785958904109589,0.0,0.0,0.0,0.7003424657534246,1.0,0.2571428571428571,0.0,0.7773972602739726,1.0,0.26857142857142857,0.0,0.7808219178082192
ML-DSA-44,777,0.9347826086956522,0.24571428571428572,0.007334963325183374,0.7688356164383562,0.9024390243902439,0.21142857142857144,0.009779951100244499,0.7568493150684932,1.0,0.2057142857142857,0.0,0.761986301369863,0.9285714285714286,0.22285714285714286,0.007334963325183374,0.761986301369863
ML-DSA-44,999,0.6322869955156951,0.8057142857142857,0.20048899755501223,0.8013698630136986,0.7945205479452054,0.3314285714285714,0.03667481662591687,0.773972602739726,0.6331877729257642,0.8285714285714286,0.20537897310513448,0.8047945205479452,0.8285714285714286,0.1657142857142857,0.014669926650366748,0.7397260273972602
ML-DSA-44,1111,0.6401515151515151,0.9657142857142857,0.23227383863080683,0.827054794520548,0.6574074074074074,0.4057142857142857,0.09046454767726161,0.7585616438356164,0.678714859437751,0.9657142857142857,0.19559902200489,0.8527397260273972,0.875,0.28,0.017114914425427872,0.7722602739726028
ML-DSA-44,2222,0.5943396226415094,0.36,0.10513447432762836,0.7345890410958904,0.8260869565217391,0.10857142857142857,0.009779951100244499,0.726027397260274,0.59,0.33714285714285713,0.10024449877750612,0.7311643835616438,0.6290322580645161,0.22285714285714286,0.05623471882640587,0.7277397260273972
ML-DSA-44,3333,1.0,0.2057142857142857,0.0,0.761986301369863,0.8,0.16,0.017114914425427872,0.7363013698630136,1.0,0.19428571428571428,0.0,0.7585616438356164,1.0,0.2057142857142857,0.0,0.761986301369863
