Algorithm,Model,Seq_Len,Test_Type,TP,TN,FP,FN,Precision,Recall,F1,ROC_AUC,PR_AUC,MCC,Balanced_Accuracy,FPR,Latency_Mean_ms,Latency_Median_ms,Latency_95th_ms
ML-KEM-512,GRU,5,Standard,0,803,0,93,0.0,0.0,0.0,0.7440779871181992,0.31553820202162847,0.0,0.5,0.0,4.483000920445193,0.8497710077790543,1.419781548611354
ML-KEM-512,GRU,5,Mixed_Unseen,0,900,0,96,0.0,0.0,0.0,0.8215277777777779,0.4718719781485455,0.0,0.5,0.0,4.483000920445193,0.8497710077790543,1.419781548611354
ML-KEM-512,LSTM,5,Standard,0,803,0,93,0.0,0.0,0.0,0.7415337645121118,0.3055482140496144,0.0,0.5,0.0,4.427538380114129,0.6849790006526746,1.0782211465993896
ML-KEM-512,LSTM,5,Mixed_Unseen,0,900,0,96,0.0,0.0,0.0,0.8278125000000001,0.500433747642218,0.0,0.5,0.0,4.427538380114129,0.6849790006526746,1.0782211465993896
ML-KEM-512,HMM,5,Standard,47,487,316,46,0.12947658402203857,0.5053763440860215,0.206140350877193,0.5632373224065668,0.12776213582822699,0.06949064095414784,0.5559260300753893,0.39352428393524286,0.11525249952683225,0.11039550736313686,0.13591010283562352
ML-KEM-512,HMM,5,Mixed_Unseen,44,554,346,52,0.11282051282051282,0.4583333333333333,0.18106995884773663,0.5687731481481482,0.12966006569225702,0.044675291151216864,0.5369444444444444,0.3844444444444444,0.11525249952683225,0.11039550736313686,0.13591010283562352
ML-KEM-512,GRU,10,Standard,3,796,2,90,0.6,0.03225806451612903,0.061224489795918366,0.7463281860565392,0.30578599505427567,0.12177391984414888,0.5148758994259843,0.002506265664160401,1.3268804296967573,1.2519169977167621,1.850683304655831
ML-KEM-512,GRU,10,Mixed_Unseen,10,894,2,85,0.8333333333333334,0.10526315789473684,0.18691588785046728,0.8264567669172932,0.4912949145888366,0.2773331707462362,0.551515507518797,0.002232142857142857,1.3268804296967573,1.2519169977167621,1.850683304655831
ML-KEM-512,LSTM,10,Standard,0,798,0,93,0.0,0.0,0.0,0.7439431913116124,0.32045619874406367,0.0,0.5,0.0,0.8515291300136596,0.8171459921868518,0.8903333087801002
ML-KEM-512,LSTM,10,Mixed_Unseen,0,896,0,95,0.0,0.0,0.0,0.833000469924812,0.5128850531753453,0.0,0.5,0.0,0.8515291300136596,0.8171459921868518,0.8903333087801002
ML-KEM-512,HMM,10,Standard,45,361,437,48,0.09336099585062241,0.4838709677419355,0.15652173913043477,0.49765542889481773,0.1089751080151664,-0.039113335658051876,0.4681259600614439,0.5476190476190477,0.11196253006346524,0.10883350478252396,0.11924345744773744
ML-KEM-512,HMM,10,Mixed_Unseen,60,448,448,35,0.11811023622047244,0.631578947368421,0.1990049751243781,0.6002467105263158,0.14072109000858474,0.0774991240226644,0.5657894736842105,0.5,0.11196253006346524,0.10883350478252396,0.11924345744773744
