algo,seed,w_time,w_mse,w_var,margin,alpha,precision,recall,fpr
ML-KEM-512,42,0.2,0.6,0.2,1.25,0.01,1.0,0.3142857142857143,0.0
ML-KEM-512,42,0.2,0.6,0.2,1.25,0.05,1.0,0.3142857142857143,0.0
ML-KEM-512,42,0.2,0.6,0.2,1.25,0.1,1.0,0.3142857142857143,0.0
ML-KEM-512,42,0.2,0.6,0.2,1.25,0.2,1.0,0.3142857142857143,0.0
ML-KEM-512,42,0.2,0.6,0.2,1.5,0.01,1.0,0.3142857142857143,0.0
ML-KEM-512,42,0.2,0.6,0.2,1.5,0.05,1.0,0.3142857142857143,0.0
ML-KEM-512,42,0.2,0.6,0.2,1.5,0.1,1.0,0.3142857142857143,0.0
ML-KEM-512,42,0.2,0.6,0.2,1.5,0.2,1.0,0.3142857142857143,0.0
ML-KEM-512,42,0.2,0.6,0.2,2.0,0.01,1.0,0.3142857142857143,0.0
ML-KEM-512,42,0.2,0.6,0.2,2.0,0.05,1.0,0.3142857142857143,0.0
ML-KEM-512,42,0.2,0.6,0.2,2.0,0.1,1.0,0.3142857142857143,0.0
ML-KEM-512,42,0.2,0.6,0.2,2.0,0.2,1.0,0.3142857142857143,0.0
ML-KEM-512,42,0.2,0.6,0.2,3.0,0.01,1.0,0.3142857142857143,0.0
ML-KEM-512,42,0.2,0.6,0.2,3.0,0.05,1.0,0.3142857142857143,0.0
ML-KEM-512,42,0.2,0.6,0.2,3.0,0.1,1.0,0.3142857142857143,0.0
ML-KEM-512,42,0.2,0.6,0.2,3.0,0.2,1.0,0.3142857142857143,0.0
ML-KEM-512,42,0.2,0.6,0.2,5.0,0.01,1.0,0.3142857142857143,0.0
ML-KEM-512,42,0.2,0.6,0.2,5.0,0.05,1.0,0.3142857142857143,0.0
ML-KEM-512,42,0.2,0.6,0.2,5.0,0.1,1.0,0.3142857142857143,0.0
ML-KEM-512,42,0.2,0.6,0.2,5.0,0.2,1.0,0.3142857142857143,0.0
ML-KEM-512,42,0.2,0.2,0.6,1.0,0.01,1.0,0.15428571428571428,0.0
ML-KEM-512,42,0.2,0.2,0.6,1.0,0.05,1.0,0.15428571428571428,0.0
ML-KEM-512,42,0.2,0.2,0.6,1.0,0.1,1.0,0.15428571428571428,0.0
ML-KEM-512,42,0.2,0.2,0.6,1.0,0.2,1.0,0.15428571428571428,0.0
ML-KEM-512,42,0.2,0.2,0.6,1.25,0.01,1.0,0.15428571428571428,0.0
ML-KEM-512,42,0.2,0.2,0.6,1.25,0.05,1.0,0.15428571428571428,0.0
ML-KEM-512,42,0.2,0.2,0.6,1.25,0.1,1.0,0.15428571428571428,0.0
ML-KEM-512,42,0.2,0.2,0.6,1.25,0.2,1.0,0.15428571428571428,0.0
ML-KEM-512,42,0.2,0.2,0.6,1.5,0.01,1.0,0.15428571428571428,0.0
ML-KEM-512,42,0.2,0.2,0.6,1.5,0.05,1.0,0.15428571428571428,0.0
ML-KEM-512,42,0.2,0.2,0.6,1.5,0.1,1.0,0.15428571428571428,0.0
ML-KEM-512,42,0.2,0.2,0.6,1.5,0.2,1.0,0.15428571428571428,0.0
ML-KEM-512,42,0.2,0.2,0.6,2.0,0.01,1.0,0.15428571428571428,0.0
ML-KEM-512,42,0.2,0.2,0.6,2.0,0.05,1.0,0.15428571428571428,0.0
ML-KEM-512,42,0.2,0.2,0.6,2.0,0.1,1.0,0.15428571428571428,0.0
ML-KEM-512,42,0.2,0.2,0.6,2.0,0.2,1.0,0.15428571428571428,0.0
ML-KEM-512,42,0.2,0.2,0.6,3.0,0.01,1.0,0.15428571428571428,0.0
ML-KEM-512,42,0.2,0.2,0.6,3.0,0.05,1.0,0.15428571428571428,0.0
ML-KEM-512,42,0.2,0.2,0.6,3.0,0.1,1.0,0.15428571428571428,0.0
ML-KEM-512,42,0.2,0.2,0.6,3.0,0.2,1.0,0.15428571428571428,0.0
ML-KEM-512,42,0.2,0.2,0.6,5.0,0.01,1.0,0.15428571428571428,0.0
ML-KEM-512,42,0.2,0.2,0.6,5.0,0.05,1.0,0.15428571428571428,0.0
ML-KEM-512,42,0.2,0.2,0.6,5.0,0.1,1.0,0.15428571428571428,0.0
ML-KEM-512,42,0.2,0.2,0.6,5.0,0.2,1.0,0.15428571428571428,0.0
ML-KEM-512,42,0.8,0.1,0.1,1.0,0.01,0.9607843137254902,0.28,0.004889975550122249
ML-KEM-512,42,0.8,0.1,0.1,1.0,0.05,0.9607843137254902,0.28,0.004889975550122249
ML-KEM-512,42,0.8,0.1,0.1,1.0,0.1,0.9607843137254902,0.28,0.004889975550122249
ML-KEM-512,42,0.8,0.1,0.1,1.0,0.2,0.9607843137254902,0.28,0.004889975550122249
ML-KEM-512,42,0.8,0.1,0.1,1.25,0.01,0.9607843137254902,0.28,0.004889975550122249
ML-KEM-512,42,0.8,0.1,0.1,1.25,0.05,0.9607843137254902,0.28,0.004889975550122249
ML-KEM-512,42,0.8,0.1,0.1,1.25,0.1,0.9607843137254902,0.28,0.004889975550122249
ML-KEM-512,42,0.8,0.1,0.1,1.25,0.2,0.9607843137254902,0.28,0.004889975550122249
ML-KEM-512,42,0.8,0.1,0.1,1.5,0.01,0.9607843137254902,0.28,0.004889975550122249
ML-KEM-512,42,0.8,0.1,0.1,1.5,0.05,0.9607843137254902,0.28,0.004889975550122249
ML-KEM-512,42,0.8,0.1,0.1,1.5,0.1,0.9607843137254902,0.28,0.004889975550122249
ML-KEM-512,42,0.8,0.1,0.1,1.5,0.2,0.9607843137254902,0.28,0.004889975550122249
ML-KEM-512,42,0.8,0.1,0.1,2.0,0.01,0.9607843137254902,0.28,0.004889975550122249
ML-KEM-512,42,0.8,0.1,0.1,2.0,0.05,0.9607843137254902,0.28,0.004889975550122249
ML-KEM-512,42,0.8,0.1,0.1,2.0,0.1,0.9607843137254902,0.28,0.004889975550122249
ML-KEM-512,42,0.8,0.1,0.1,2.0,0.2,0.9607843137254902,0.28,0.004889975550122249
ML-KEM-512,42,0.8,0.1,0.1,3.0,0.01,0.9607843137254902,0.28,0.004889975550122249
ML-KEM-512,42,0.8,0.1,0.1,3.0,0.05,0.9607843137254902,0.28,0.004889975550122249
ML-KEM-512,42,0.8,0.1,0.1,3.0,0.1,0.9607843137254902,0.28,0.004889975550122249
ML-KEM-512,42,0.8,0.1,0.1,3.0,0.2,0.9607843137254902,0.28,0.004889975550122249
ML-KEM-512,42,0.8,0.1,0.1,5.0,0.01,0.9607843137254902,0.28,0.004889975550122249
ML-KEM-512,42,0.8,0.1,0.1,5.0,0.05,0.9607843137254902,0.28,0.004889975550122249
ML-KEM-512,42,0.8,0.1,0.1,5.0,0.1,0.9607843137254902,0.28,0.004889975550122249
