algo,seed,wilcoxon_p,effect_size,base_precision,base_recall,base_f1,base_accuracy,base_roc_auc,base_pr_auc,base_mcc,base_balanced_accuracy,base_fpr,base_tpr,base_mean_latency_ms,adapt_precision,adapt_recall,adapt_f1,adapt_accuracy,adapt_roc_auc,adapt_pr_auc,adapt_mcc,adapt_balanced_accuracy,adapt_fpr,adapt_tpr,adapt_mean_latency_ms
ML-KEM-512,42,4.220043391195674e-27,0.5235849056603774,0.2996575342465753,1.0,0.461133069828722,0.2996575342465753,0.4976388403772267,0.28079282297757213,0.0,0.5,1.0,1.0,0.05375930707748622,0.4625,0.4228571428571429,0.4417910447761194,0.6797945205479452,0.6508836884387007,0.4111940069415655,0.21836191865863777,0.6062940971009431,0.21026894865525672,0.4228571428571429,0.43129635183778525
ML-KEM-512,123,5.376791074222458e-12,0.48514851485148514,0.7709251101321586,1.0,0.8706467661691543,0.910958904109589,0.9987286063569683,0.9974713255431192,0.8203110274186237,0.9364303178484108,0.1271393643031785,1.0,0.05320449397988516,0.9629629629629629,0.14857142857142858,0.25742574257425743,0.7431506849315068,0.9126370939573873,0.8100822711409319,0.3187865612282548,0.5730632203981838,0.0024449877750611247,0.14857142857142858,0.42965395809852913
ML-KEM-512,1001,1.7162735635942714e-05,0.29807692307692313,0.6653992395437263,1.0,0.7990867579908676,0.8493150684931506,0.9978763534753755,0.9959142692900331,0.7226566646730802,0.8924205378973105,0.21515892420537897,1.0,0.05335268908984041,0.7272727272727273,0.22857142857142856,0.34782608695652173,0.7431506849315068,0.905148445686343,0.7677931847563999,0.30098080862129684,0.5959483059727558,0.03667481662591687,0.22857142857142856,0.4329007782348215
ML-KEM-512,2024,8.002744952056892e-08,0.39459459459459456,0.7543103448275862,1.0,0.85995085995086,0.9023972602739726,0.9968424729304924,0.9938453717464868,0.8057210492722451,0.9303178484107579,0.1393643031784841,1.0,0.05378706814491586,0.9787234042553191,0.26285714285714284,0.4144144144144144,0.7773972602739726,0.9287041564792176,0.8745223845901908,0.4385366131252281,0.6302060775410409,0.0024449877750611247,0.26285714285714284,0.43280034849088483
ML-KEM-512,8888,1.2233431606580762e-08,0.4269662921348315,0.7709251101321586,1.0,0.8706467661691543,0.910958904109589,0.998812434509256,0.9976391876805755,0.8203110274186237,0.9364303178484108,0.1271393643031785,1.0,0.05379809092168939,0.9795918367346939,0.2742857142857143,0.42857142857142855,0.7808219178082192,0.9549423681453021,0.9125082237937967,0.4491798538779347,0.6359203632553266,0.0024449877750611247,0.2742857142857143,0.43303305155610383
ML-KEM-512,777,1.8583223751015538e-13,0.5469613259668509,0.8093023255813954,0.9942857142857143,0.8923076923076924,0.928082191780822,0.9981697520083828,0.9963955265616171,0.8491918269470237,0.9470206077541041,0.10024449877750612,0.9942857142857143,0.05736253032945607,1.0,0.19428571428571428,0.3253588516746411,0.7585616438356164,0.9188264058679707,0.8593734342581303,0.3801025152217781,0.5971428571428572,0.0,0.19428571428571428,0.46031319931761855
ML-KEM-512,999,2.8554941795921876e-09,0.42000000000000004,0.7,1.0,0.8235294117647058,0.8715753424657534,0.9595389451624171,0.77350919513193,0.7560675510887179,0.9083129584352079,0.18337408312958436,1.0,0.05354742481283945,0.66,0.18857142857142858,0.29333333333333333,0.7277397260273972,0.8097100943066713,0.5988000950166104,0.24069218443097215,0.5735033181976947,0.04156479217603912,0.18857142857142858,0.4320014013002996
ML-KEM-512,1111,1.440040756300818e-09,0.4257425742574258,0.7172131147540983,1.0,0.8353221957040573,0.8818493150684932,0.9733286762137617,0.8400636916739945,0.7721504265450326,0.9156479217603912,0.1687041564792176,1.0,0.05436188554110592,0.7380952380952381,0.17714285714285713,0.2857142857142857,0.7345890410958904,0.8894446384910932,0.7317426628538073,0.2664189211567146,0.5751239958085924,0.02689486552567237,0.17714285714285713,0.43476281100756503
ML-KEM-512,2222,7.8706830072676e-13,0.5183246073298429,0.7918552036199095,1.0,0.8838383838383839,0.9212328767123288,0.9989102340202585,0.9976816093466555,0.8383291085047241,0.9437652811735942,0.11246943765281174,1.0,0.05380013217664745,0.96875,0.17714285714285713,0.2995169082125604,0.7517123287671232,0.9147886831994412,0.8347856711045728,0.35166063715416146,0.587348934683898,0.0024449877750611247,0.17714285714285713,0.43427005206068897
ML-KEM-512,3333,4.611850292522524e-13,0.5454545454545454,0.8130841121495327,0.9942857142857143,0.8946015424164524,0.9297945205479452,0.9988962626615439,0.9978919780723786,0.8523472021226638,0.9482431016416346,0.097799511002445,0.9942857142857143,0.054158984798274634,0.8958333333333334,0.24571428571428572,0.38565022421524664,0.7654109589041096,0.8942926999650717,0.7680795013933404,0.38944374699429557,0.61674467341949,0.012224938875305624,0.24571428571428572,0.43388262186964893
ML-KEM-512,4444,2.4280782663305756e-14,0.5591397849462365,0.8101851851851852,1.0,0.8951406649616368,0.9297945205479452,0.9993992315752708,0.9988498501316235,0.8537965667413611,0.949877750611247,0.10024449877750612,1.0,0.05420838316825972,0.96875,0.17714285714285713,0.2995169082125604,0.7517123287671232,0.9247223192455467,0.8333101874951767,0.35166063715416146,0.587348934683898,0.0024449877750611247,0.17714285714285713,0.43623333107935236
